author,cover,publisher,title,url,year
"Trudy McKee, James McKee",'https://libgen.lc/covers/0/fbd600272d452bd7c8ef8c26fe6a31f3-d.jpg,McGraw-Hill Science/Engineering/Math ,"Biochemistry: the molecular basis of life(some pages cut at bottom) [3 ed.] 007231592X, 9780072315929",http://libgen.lc/ads.php?md5=fbd600272d452bd7c8ef8c26fe6a31f3,2002 
"David Hilbert, M. Ackerman, R. Hermann",'https://libgen.lc/covers/3000/54ee4135cce7e88574eed057032d10eb.jpg,Math Sci Press ,"Hilbert's invariant theory papers 0915692260, 9780915692262",http://libgen.lc/ads.php?md5=54ee4135cce7e88574eed057032d10eb,1978 
Kwasniewski.,'https://libgen.lc/covers/3000/e6d55510d229eee6a4f2a3637b0b8eeb.jpg, ,Clifford and Grassmann like algebras: Old and New,http://libgen.lc/ads.php?md5=e6d55510d229eee6a4f2a3637b0b8eeb,1985 
M. Shifman,'https://libgen.lc/covers/3000/06e6135019c8f2f43158aba9abdc610e-d.jpg,World Scientific Publishing Company ,"You failed your math test, Comrade Einstein (about Soviet antisemitism) 9789812562791, 9812562796",http://libgen.lc/ads.php?md5=06e6135019c8f2f43158aba9abdc610e,2005 
Bourbaki N.,'https://libgen.lc/covers/3000/c5c0ca7c1c08c6029bd1ec452c626317.jpg, ,Topologie generale (Elements de math.),http://libgen.lc/ads.php?md5=c5c0ca7c1c08c6029bd1ec452c626317, 
Amnon Neeman,'https://libgen.lc/covers/3000/0005928e6ad9ae3a5f83ae1ffbe14ed6-d.jpg,Princeton University Press ,"Triangulated Categories.  0691086869, 9780691086866",http://libgen.lc/ads.php?md5=0005928e6ad9ae3a5f83ae1ffbe14ed6,2001 
"Fletcher Dunn, Ian Parberry",'https://libgen.lc/covers/1000/dbd5ad0ec54334e8f5a6852e831a5774-d.jpg,Wordware Pub ,"3D Math Primer for Graphics and Game Development [1 ed.] 1556229119, 9781556229114, 9780585425436",http://libgen.lc/ads.php?md5=dbd5ad0ec54334e8f5a6852e831a5774,2002 
Seidenberg A.,'https://libgen.lc/covers/3000/fffe6c46ac72661c9de78959522bd4b7.jpg, ,Decision method for elementary algebra,http://libgen.lc/ads.php?md5=fffe6c46ac72661c9de78959522bd4b7,1954 
"Sanjoy Dasgupta, Christos Papadimitriou, Umesh Vazirani",'https://libgen.lc/covers/1000/529078edeb67e6ca26edc683ad3f6a51-d.jpg,McGraw-Hill Science/Engineering/Math ,"Algorithms  [1 ed.] 0073523402, 9780073523408",http://libgen.lc/ads.php?md5=529078edeb67e6ca26edc683ad3f6a51,2006 
S. Gill Williamson,'https://libgen.lc/covers/1000/6ad633690e4bf872fe59158b4de94fda-d.jpg,Computer Science Press ,"Combinatorics for Computer Science 0881750204, 9780881750201",http://libgen.lc/ads.php?md5=6ad633690e4bf872fe59158b4de94fda,1985 
